filename,text,word_count,has_medication,medication_mention,has_side_effect,side_effect_mention,has_dosage,side_dosage,cleansed_text
file475.txt.txt,"Abidal has taken me out of a deep depression. Before Abidal I had no interest in things and no urge to do anything. Now I'm back to my old self. So far no bad side effects.
",36,Yes,['abidal'],No,[],No,[],abidal take deep depression . Before abidal I interest thing urge anything . Now I 'm back old self . So far bad side effect .
file1533.txt.txt,"This is a great medication but it does have side effects.  Make sure you don't miss a day, or you will know it. The trade off is worth it for me. I do miss my sex drive though.
",38,No,[],No,[],No,[],"This great medication side effect . Make sure n't miss day , know . The trade worth . I miss sex drive though ."
file1187.txt.txt,"Whatever you do, make sure that you do NOT forget to take your medication --- even three days off on accident will cause MAJOR psychological problems beyond what were already being treated.
",32,No,[],No,[],No,[],"Whatever , make sure NOT forget take medication -- - even three day accident cause MAR psychological problem beyond already treat ."
file1591.txt.txt,"I've been taking Ecstapin about a year but have become concerned about some possible health issues which I didn't assume were side effects until I started reading these postings. I started hearing music in my head when hospitalized in April   it continues to date. About 2-3 mos after I fell   fractured my pelvis, my hair started falling out   still is. I have dry mouth,hoarseness, difficulty at times swallowing. Been blaming everything on the recovery from the fall, but now I wonder. I'm going to call my dr tomorrow   try to get off this.
",93,Yes,['ecstapin'],Yes,['dry mouth'],No,[],"I 've take Ecstapin year become concerned possible health issue I n't assume side effect I start reading posting . I start hearing music head hospitalize April continue date . About 2-3 mo I fell fracture pelvis , hair start fall still . I dry mouth , hoarseness , difficulty time swallow . Been blame everything recovery fall , I wonder . I 'm go call dr tomorrow try get ."
file1851.txt.txt,"I have been on Ecstapin for 6 years for anxiety/depression. The Ecstapin got me out of a hell hole. But for the last year, I have been experiencing advancing blurriness, aggitation and finally jaundice. Because of my moods going up and down, I thought and also my psychiatrist thought that I was bipolar so he put me on MERIFLEX.I couldn't tolerate this med. because it caused severe joint pain. I had blood work checked last March and the results were all normal except for my cholesterol and triglycerides wereelevated. These are side effects of Ecstapin. I wish I had read all this information when all the symptoms started happening to my body. I should have gone on the computer and read all the side effects instead of being naive. I questioned my psychiatrist and he thought that I was rationalizing too much between an elevated blood pressure and an increase with my aggitation. (Jee, I am not bipolar after all). I guess I was right and he was definately wrong. Even though we have  mental issues , we should take all the changes in our behavior seriously after we are put on these medications. Our chemical imbalances lead us to take these chemicals. I have been off the med for almost 2 weeks after cutting myself down (I work in a doctor's office) and themain withdrawal was dizziness and I had to really concentrate on what I was saying. I feel great right now, no depression or anxiety. I hope and pray I remain this way and I hope that everyone pays attention to each and every day while on this med. Keep adiary.
",274,Yes,"['ecstapin', 'meriflex']",Yes,"['dizziness', 'jaundice', 'joint pain']",No,[],"I Ecstapin 6 year anxiety/depression . The Ecstapin get hell hole . But last year , I experience advance blurriness , agitation finally jaundice . Because mood go , I thought also psychiatrist thought I bipolar put MERIFLEX.I could n't tolerate med . cause severe joint pain . I blood work checked last March result normal except cholesterol triglyceride reelevated . These side effect Ecstapin . I wish I read information symptom start happen body . I go computer read side effect instead naive . I question psychiatrist thought I rationalize much elevate blood pressure increase agitation . ( see , I bipolar ) . I guess I right definitely wrong . Even though mental issue , take change behavior seriously put medication . Our chemical imbalance lead u take chemical . I med almost 2 week cut ( I work doctor 's office ) thebain withdrawal dizziness I really concentrate I say . I feel great right , depression anxiety . I hope pray I remain way I hope everyone pay attention every day med . Keep diary ."
file1766.txt.txt,"I have been on this med for about 5 years topping at 375mg a day. It worked well once I was regulated.After a year or so I tapered off I wanted to get off them eventually.I took 150mg for a long time.I tried getting off several times and trust me you never want to just stop which I did a few times because I ran out an just figured I would go off them,dont do that. Anyway I am still trying to get off them. I have been on about 17.5 mg for 8 months now. For about 5 months I have been only taking the 1/4 tablet every few days, just when I start getting the withdrawl symptoms. The symptoms are awful. I have tried and waited about 24-30 hours after symptoms start to see if they might go away but in that amount of time they never have and I end up taken the med. I had been told when I started them that I would just tapper off over a few weeks. Wow,years later. When I had told my Doctor about all the anxiety and other withdrawl symptoms he said I was just going to have to stay on them.....forever.that was not ok with me. Anyway just know I think I have read a few blogs from people at another site that had no problems getting off. Most were like me though so if you are reading up on theis drug before you take it you have been warned it is not fun at all getting off this.If you think how bad could it be, well if you think you are depressed now plus worse things and feelings. good luck
",283,No,[],No,[],Yes,"['375mg', '150mg', '17.5 mg']","I med 5 year top 375mg day . It work well I regulated.After year I taper I want get eventually.I take 150mg long time.I try get several time trust never want stop I time I ran figure I would go , dont . anyway I still try get . I 17.5 mg 8 month . For 5 month I take 1/4 tablet every day , I start get withdrawn symptom . The symptom awful . I try wait 24-30 hour symptom start see might go away amount time never I end take med . I told I start I would tapper week . , year later . When I told Doctor anxiety withdrawn symptom say I go stay ... ..forever.that ok . anyway know I think I read blog people another site problem get . Most like though reading drug take warn fun get this.If think bad could , well think depressed plus bad thing feeling . good luck"
file214.txt.txt,"I am on this and Abidal.  It has made a world of difference on my mood.  I feel a hundred time better.  I haven't had any side effects.
",28,Yes,['abidal'],No,[],No,[],I abidal . It make world difference mood . I feel hundred time well . I n't side effect .
file338.txt.txt,"I have found that I am angrier than before I was on this medicine,   still am depressed.
",17,No,[],No,[],No,[],"I found I angrier I medicine , still depressed ."
file1349.txt.txt,".I was using Ecstapin and was getting more and more depressed. Finally, I asked my dear sweet doctor i he could switch me to Abidal! Within 2 days I was feeling better! Within a week I was feeling terric, within a two weeks - I am soooooooooooooo happy! I have my life back! I enjoy life again! I still have a few areas to work on, but it's normal areas that normal people work on. Now I can cope with them.
",81,Yes,"['abidal', 'ecstapin']",No,[],No,[],".I use Ecstapin get depressed . finally , I ask dear sweet doctor could switch abidal ! Within 2 day I feel well ! Within week I feel tetric , within two week - I soooooooooooooo happy ! I life back ! I enjoy life ! I still area work , 's normal area normal people work . Now I cope ."
file1484.txt.txt,"I have had good results w/ this drug.  It also helped alleviate my PMS symptoms, which were severe.  I made the mistake, once, of not getting my prescription refilled on time and had MAJOR withdrawl symptoms--vomiting, migraine, not being able to keep anything in my stomach.  I will never do that again.
",52,No,[],Yes,['vomiting'],No,[],"I good result w/ drug . It also help alleviate PMS symptom , severe . I make mistake , , get prescription refill time MAR withdrawn symptom -- vomit , migraine , able keep anything stomach . I never ."
